cho01A;cho02N;2.7
cho01A;cho03N;2.4
cho01A;cho04N;0.2
cho01A;cho05A;4.1
cho01A;cho06M;3.3
cho01A;cho07M;5
cho01A;cho08A;4.3
cho01A;cho09N;0.9
cho01A;cho10N;0.9
cho01A;cho11M;1.6
cho01A;cho12M;6
cho01A;cho13M;2.2
cho01A;cho14M;2.4
cho01A;cho15M;5.3
cho01A;cho16M;3.5
cho01A;cho17M;1.5
cho01A;cho18M;6.4
cho01A;cho19M;6
cho01A;cho20M;1.1
cho02N;cho03N;1.3
cho02N;cho04N;2.8
cho02N;cho05A;3.4
cho02N;cho06M;2.2
cho02N;cho07M;2.8
cho02N;cho08A;1.8
cho02N;cho09N;2.1
cho02N;cho10N;2.6
cho02N;cho11M;3.5
cho02N;cho12M;3.9
cho02N;cho13M;1.6
cho02N;cho14M;6.5
cho02N;cho15M;3.7
cho02N;cho16M;1.6
cho02N;cho17M;2.2
cho02N;cho18M;3.9
cho02N;cho19M;3.9
cho02N;cho20M;3.1
cho03N;cho04N;2.1
cho03N;cho05A;2.3
cho03N;cho06M;1.1
cho03N;cho07M;3.7
cho03N;cho08A;3.2
cho03N;cho09N;1.4
cho03N;cho10N;1.3
cho03N;cho11M;2.3
cho03N;cho12M;4.7
cho03N;cho13M;0.2
cho03N;cho14M;3.7
cho03N;cho15M;4.5
cho03N;cho16M;2.4
cho03N;cho17M;1.2
cho03N;cho18M;5.2
cho03N;cho19M;4.7
cho03N;cho20M;2.4
cho04N;cho05A;3.8
cho04N;cho06M;3.4
cho04N;cho07M;5
cho04N;cho08A;4.3
cho04N;cho09N;0.6
cho04N;cho10N;1.8
cho04N;cho11M;2.5
cho04N;cho12M;6.1
cho04N;cho13M;2.3
cho04N;cho14M;3.4
cho04N;cho15M;5.9
cho04N;cho16M;3.5
cho04N;cho17M;2.4
cho04N;cho18M;6.5
cho04N;cho19M;6.1
cho04N;cho20M;2
cho05A;cho06M;1.2
cho05A;cho07M;5.2
cho05A;cho08A;4.1
cho05A;cho09N;2.4
cho05A;cho10N;3.4
cho05A;cho11M;4.5
cho05A;cho12M;6.3
cho05A;cho13M;2.3
cho05A;cho14M;5.4
cho05A;cho15M;6
cho05A;cho16M;2.9
cho05A;cho17M;3.3
cho05A;cho18M;6.3
cho05A;cho19M;6.3
cho05A;cho20M;4.1
cho06M;cho07M;4
cho06M;cho08A;3
cho06M;cho09N;2.4
cho06M;cho10N;2.3
cho06M;cho11M;3.2
cho06M;cho12M;5.1
cho06M;cho13M;1.2
cho06M;cho14M;4.6
cho06M;cho15M;4.9
cho06M;cho16M;1.7
cho06M;cho17M;2.1
cho06M;cho18M;5.1
cho06M;cho19M;5.1
cho06M;cho20M;3.4
cho07M;cho08A;1.5
cho07M;cho09N;4.7
cho07M;cho10N;4.9
cho07M;cho11M;4.1
cho07M;cho12M;1.3
cho07M;cho13M;3.8
cho07M;cho14M;5.1
cho07M;cho15M;1
cho07M;cho16M;2.8
cho07M;cho17M;3.9
cho07M;cho18M;1.8
cho07M;cho19M;1.3
cho07M;cho20M;4.9
cho08A;cho09N;3.9
cho08A;cho10N;4.2
cho08A;cho11M;3.4
cho08A;cho12M;2.2
cho08A;cho13M;3.3
cho08A;cho14M;4.3
cho08A;cho15M;2
cho08A;cho16M;1.6
cho08A;cho17M;3.3
cho08A;cho18M;2.2
cho08A;cho19M;2.2
cho08A;cho20M;4.2
cho09N;cho10N;1.2
cho09N;cho11M;2.1
cho09N;cho12M;5.5
cho09N;cho13M;1.7
cho09N;cho14M;2.9
cho09N;cho15M;5.2
cho09N;cho16M;2.9
cho09N;cho17M;1.8
cho09N;cho18M;5.8
cho09N;cho19M;5.5
cho09N;cho20M;1.7
cho10N;cho11M;1.2
cho10N;cho12M;4.9
cho10N;cho13M;1.2
cho10N;cho14M;2.5
cho10N;cho15M;4.7
cho10N;cho16M;3.7
cho10N;cho17M;0.8
cho10N;cho18M;5.3
cho10N;cho19M;4.9
cho10N;cho20M;1.3
cho11M;cho12M;4.8
cho11M;cho13M;2
cho11M;cho14M;2.2
cho11M;cho15M;3.7
cho11M;cho16M;4.3
cho11M;cho17M;1.6
cho11M;cho18M;5.2
cho11M;cho19M;4.8
cho11M;cho20M;1
cho12M;cho13M;4.7
cho12M;cho14M;5.9
cho12M;cho15M;1.2
cho12M;cho16M;3.6
cho12M;cho17M;4.7
cho12M;cho18M;0.6
cho12M;cho19M;0.1
cho12M;cho20M;5.8
cho13M;cho14M;3.4
cho13M;cho15M;4.4
cho13M;cho16M;2.3
cho13M;cho17M;1
cho13M;cho18M;5.1
cho13M;cho19M;4.6
cho13M;cho20M;2.2
cho14M;cho15M;5.7
cho14M;cho16M;5.7
cho14M;cho17M;2.9
cho14M;cho18M;6.3
cho14M;cho19M;5.9
cho14M;cho20M;1
cho15M;cho16M;3.5
cho15M;cho17M;5
cho15M;cho18M;1.6
cho15M;cho19M;1.1
cho15M;cho20M;4.7
cho16M;cho17M;2.8
cho16M;cho18M;4.3
cho16M;cho19M;4.3
cho16M;cho20M;3.7
cho17M;cho18M;5.2
cho17M;cho19M;4.8
cho17M;cho20M;2
cho18M;cho19M;0.7
cho18M;cho20M;6
cho19M;cho20M;5.8
